growth_entity,solution,year,monthly_rate,goal_seek_rate,calculated_rate
Growth Rate 01,Newcastle Solution,2028,0.00407412378364835,0.00407412378364835,0.0491069805276513
Growth Rate 01,Belfast Solution,2025,0.00407412378364835,0.00407412378364835,0.0268001316807698
Growth Rate 01,Belfast Solution,2026,0.00407412378364835,0.00407412378364835,0.0514696635538338
Growth Rate 01,Belfast Solution,2027,0.00407412378364835,0.00407412378364835,0.0515280646718438
Growth Rate 01,Belfast Solution,2028,0.00407412378364835,0.00407412378364835,0.047904266394111
Growth Rate 01,Manchester Solution,2025,0.00407412378364835,0.00407412378364835,0.0270218607630511
Growth Rate 01,Manchester Solution,2026,0.00407412378364835,0.00407412378364835,0.0554841716255429
Growth Rate 01,Manchester Solution,2027,0.00407412378364835,0.00407412378364835,0.0542785287000649
Growth Rate 01,Manchester Solution,2028,0.00407412378364835,0.00407412378364835,0.0499560963409855
Growth Rate 01,Chester Solution,2025,0.00407412378364835,0.00407412378364835,0.0297836048917793
Growth Rate 01,Chester Solution,2026,0.00407412378364835,0.00407412378364835,0.0605417019391147
Growth Rate 01,Chester Solution,2027,0.00407412378364835,0.00407412378364835,0.0564013536758629
Growth Rate 01,Chester Solution,2028,0.00407412378364835,0.00407412378364835,0.049436001935207
Growth Rate 01,Lancaster Solution,2025,0.00407412378364835,0.00407412378364835,0.0256072591011876
Growth Rate 01,Lancaster Solution,2026,0.00407412378364835,0.00407412378364835,0.0529973658035742
Growth Rate 01,Lancaster Solution,2027,0.00407412378364835,0.00407412378364835,0.0526391495391437
Growth Rate 01,Lancaster Solution,2028,0.00407412378364835,0.00407412378364835,0.0489977865425419
Growth Rate 01,Derby Solution,2025,0.00407412378364835,0.00407412378364835,0.019927006251016
Growth Rate 01,Derby Solution,2026,0.00407412378364835,0.00407412378364835,0.0417463750321893
Growth Rate 01,Derby Solution,2027,0.00407412378364835,0.00407412378364835,0.0417974264774666
Growth Rate 01,Derby Solution,2028,0.00407412378364835,0.00407412378364835,0.0418510476693838
Growth Rate 01,Sheffield Solution,2025,0.00407412378364835,0.00407412378364835,0.0309844294078813
Growth Rate 01,Sheffield Solution,2026,0.00407412378364835,0.00407412378364835,0.0488562778173628
Growth Rate 01,Sheffield Solution,2027,0.00407412378364835,0.00407412378364835,0.0489145553017309
Growth Rate 01,Sheffield Solution,2028,0.00407412378364835,0.00407412378364835,0.0489633288238648
Growth Rate 01,Lincoln Solution,2025,0.00407412378364835,0.00407412378364835,0.0249208112884608
Growth Rate 01,Lincoln Solution,2026,0.00407412378364835,0.00407412378364835,0.0596331553558394
Growth Rate 01,Lincoln Solution,2027,0.00407412378364835,0.00407412378364835,0.0574240264480178
Growth Rate 01,Lincoln Solution,2028,0.00407412378364835,0.00407412378364835,0.0516922725568547
Growth Rate 01,Portsmouth Solution,2025,0.00407412378364835,0.00407412378364835,0.0250165213203689
Growth Rate 01,Portsmouth Solution,2026,0.00407412378364835,0.00407412378364835,0.0505496509573459
Growth Rate 01,Portsmouth Solution,2027,0.00407412378364835,0.00407412378364835,0.0507702464003083
Growth Rate 01,Portsmouth Solution,2028,0.00407412378364835,0.00407412378364835,0.0493545165934836
Growth Rate 02,Leeds Solution,2025,0.00407412378364835,0.00407412378364835,0.0282333140619568
Growth Rate 02,Leeds Solution,2026,0.00407412378364835,0.00407412378364835,0.0588380917244738
Growth Rate 02,Leeds Solution,2027,0.00407412378364835,0.00407412378364835,0.0562210203990494
Growth Rate 02,Leeds Solution,2028,0.00407412378364835,0.00407412378364835,0.0515458214051933
Growth Rate 02,Southampton Solution,2025,0.00407412378364835,0.00407412378364835,0.0236767749514757
Growth Rate 02,Southampton Solution,2026,0.00407412378364835,0.00407412378364835,0.0474002083106261
Growth Rate 02,Southampton Solution,2027,0.00407412378364835,0.00407412378364835,0.0478840350844617
Growth Rate 02,Southampton Solution,2028,0.00407412378364835,0.00407412378364835,0.0462110177738767
Growth Rate 03,External Solution,2025,0.00407412378364858,0.00407412378364858,0.0243218732250762
Growth Rate 03,External Solution,2026,0.00407412378364835,0.00407412378364835,0.047771199491971
Growth Rate 03,External Solution,2027,0.00407412378364813,0.00407412378364813,0.0481672875401301
Growth Rate 03,External Solution,2028,0.00407412378364835,0.00407412378364835,0.0473630850707029
