concat_key,platform,bp_segment,solution,product,entity,year,share_rate
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedNon CoreLegal Entity 1,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 1,2025,1.49170651339879e-06
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedNon CoreLegal Entity 1,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 1,2026,1.4906245257325e-06
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedNon CoreLegal Entity 1,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 1,2027,1.4906245257325e-06
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedNon CoreLegal Entity 1,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 1,2028,1.4906245257325e-06
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 2,2025,0.00967589692583385
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 2,2026,0.00968255632080873
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 2,2027,0.00968255632080873
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 2,2028,0.00968255632080873
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 1,2025,0.0105167986616562
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 1,2026,0.0105240368036803
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 1,2027,0.0105240368036803
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 1,2028,0.0105240368036803
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedNon CoreLegal Entity 2,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 2,2025,1.91244424794717e-07
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedNon CoreLegal Entity 2,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 2,2026,1.91376047958049e-07
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedNon CoreLegal Entity 2,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 2,2027,1.91376047958049e-07
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedNon CoreLegal Entity 2,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 2,2028,1.91376047958049e-07
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedNon CoreLegal Entity 1,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 1,2025,7.6497769917887e-08
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedNon CoreLegal Entity 1,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 1,2026,7.65504191832197e-08
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedNon CoreLegal Entity 1,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 1,2027,7.65504191832197e-08
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Glasgow SolutionAdmin & ManagedNon CoreLegal Entity 1,Platform 1,Segment One,Glasgow Solution,Product 01,Legal Entity 1,2028,7.65504191832197e-08
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Newcastle SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Newcastle Solution,Product 01,Legal Entity 2,2025,0.00631726233758902
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Newcastle SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Newcastle Solution,Product 01,Legal Entity 2,2026,0.00632240864228337
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Newcastle SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Newcastle Solution,Product 01,Legal Entity 2,2027,0.00632240864228337
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Newcastle SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Newcastle Solution,Product 01,Legal Entity 2,2028,0.00632240864228337
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Belfast SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Belfast Solution,Product 01,Legal Entity 2,2025,0.000818717382546185
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Belfast SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Belfast Solution,Product 01,Legal Entity 2,2026,0.000810833207953718
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Belfast SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Belfast Solution,Product 01,Legal Entity 2,2027,0.000810833207953718
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Belfast SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Belfast Solution,Product 01,Legal Entity 2,2028,0.000810833207953718
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Belfast SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Belfast Solution,Product 01,Legal Entity 1,2025,0.000199200192866178
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Belfast SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Belfast Solution,Product 01,Legal Entity 1,2026,0.000197281912965334
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Belfast SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Belfast Solution,Product 01,Legal Entity 1,2027,0.000197281912965334
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Belfast SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Belfast Solution,Product 01,Legal Entity 1,2028,0.000197281912965334
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Manchester SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Manchester Solution,Product 01,Legal Entity 2,2025,0.00576081755920631
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Manchester SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Manchester Solution,Product 01,Legal Entity 2,2026,0.00575126215549122
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Manchester SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Manchester Solution,Product 01,Legal Entity 2,2027,0.00575126215549122
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Manchester SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Manchester Solution,Product 01,Legal Entity 2,2028,0.00575126215549122
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Manchester SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Manchester Solution,Product 01,Legal Entity 1,2025,0.000825257941874164
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Manchester SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Manchester Solution,Product 01,Legal Entity 1,2026,0.000823889095747265
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Manchester SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Manchester Solution,Product 01,Legal Entity 1,2027,0.000823889095747265
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Manchester SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Manchester Solution,Product 01,Legal Entity 1,2028,0.000823889095747265
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Chester SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Chester Solution,Product 01,Legal Entity 2,2025,0.00365735837977417
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Chester SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Chester Solution,Product 01,Legal Entity 2,2026,0.00365777788900577
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Chester SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Chester Solution,Product 01,Legal Entity 2,2027,0.00365777788900577
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Chester SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Chester Solution,Product 01,Legal Entity 2,2028,0.00365777788900577
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lancaster SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Lancaster Solution,Product 01,Legal Entity 2,2025,0.0019583429098979
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lancaster SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Lancaster Solution,Product 01,Legal Entity 2,2026,0.00194579340510291
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lancaster SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Lancaster Solution,Product 01,Legal Entity 2,2027,0.00194579340510291
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lancaster SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Lancaster Solution,Product 01,Legal Entity 2,2028,0.00194579340510291
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lancaster SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Lancaster Solution,Product 01,Legal Entity 1,2025,9.22563105209716e-05
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lancaster SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Lancaster Solution,Product 01,Legal Entity 1,2026,9.166511119352e-05
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lancaster SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Lancaster Solution,Product 01,Legal Entity 1,2027,9.166511119352e-05
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lancaster SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Lancaster Solution,Product 01,Legal Entity 1,2028,9.166511119352e-05
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Derby SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Derby Solution,Product 01,Legal Entity 1,2025,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Derby SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Derby Solution,Product 01,Legal Entity 1,2026,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Derby SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Derby Solution,Product 01,Legal Entity 1,2027,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Derby SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Derby Solution,Product 01,Legal Entity 1,2028,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Sheffield SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Sheffield Solution,Product 01,Legal Entity 1,2025,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Sheffield SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Sheffield Solution,Product 01,Legal Entity 1,2026,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Sheffield SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Sheffield Solution,Product 01,Legal Entity 1,2027,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Sheffield SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Sheffield Solution,Product 01,Legal Entity 1,2028,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lincoln SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Lincoln Solution,Product 01,Legal Entity 1,2025,0.000291724245581862
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lincoln SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Lincoln Solution,Product 01,Legal Entity 1,2026,0.000289727267567984
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lincoln SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Lincoln Solution,Product 01,Legal Entity 1,2027,0.000289727267567984
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Lincoln SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Lincoln Solution,Product 01,Legal Entity 1,2028,0.000289727267567984
